"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
741,0.288798920377868,0.0166601200462259,0.269622093023256,1376,0.0119586807584652,-0.0673658480595169,0.0164779380041224,"1",2003,2003
635,0.247244094488189,0.0171334736216017,0.202256244963739,1241,0.0113363307725567,-0.0722480683488575,0.0148539385207294,"1",2005,2005
606,0.155115511551155,0.0147179931273984,0.130008176614881,1223,0.009598286002865,-0.0395070547001469,0.0123952610424383,"1",2007,2007
617,0.105348460291734,0.0123694587623915,0.0905011219147345,1337,0.00784317551234154,-0.0305618199420486,0.0101999492578825,"1",2009,2009
720,0.0777777777777778,0.00998805928694414,0.0599393019726859,1318,0.00652100933491005,-0.0165219350259072,0.00846377969698347,"1",2011,2011
598,0.0384615384615385,0.0078706298949044,0.0434173669467787,1428,0.00539555409694737,-0.00430469911256973,0.00714447479990605,"1",2013,2013
830,0.0469879518072289,0.0073496251180166,0.039112667834209,1713,0.00468310966702756,0.000790596978366587,0.00671387028662784,"1",2015,2015
883,0.0317100792751982,0.00590020466876249,0.0399032648125756,1654,0.00481087705852656,NA,NA,"1",2017,2017
771,0.0492866407263294,0.00780088804237482,NA,NA,NA,NA,NA,"1",2019,2019
743,0.289367429340511,0.0166473620526445,0.269956458635704,1378,0.0119543095395193,-0.0670579079110663,0.0164825260789724,"2",2003,2003
635,0.247244094488189,0.0171334736216017,0.202898550724638,1242,0.0113476054468492,-0.0721795964762717,0.0148735030144804,"2",2005,2005
607,0.156507413509061,0.0147595045746814,0.130718954248366,1224,0.00961524531899193,-0.0396061835239448,0.0124202436655989,"2",2007,2007
617,0.105348460291734,0.0123694587623915,0.0911127707244212,1339,0.00786190245223467,-0.0305525890438762,0.010228968953682,"2",2009,2009
722,0.0789473684210526,0.0100425365391076,0.060560181680545,1321,0.00654387466925644,-0.0172640922950702,0.00847205551043679,"2",2011,2011
599,0.0383973288814691,0.00785774164159669,0.0432960893854749,1432,0.00538083905027704,-0.0037382068956552,0.00714508764990689,"2",2013,2013
833,0.0468187274909964,0.00732379012119594,0.0395578824898197,1719,0.00470094125041632,0.00190846366402649,0.0067795327887937,"2",2015,2015
886,0.0327313769751693,0.00598114116584274,0.0414663461538462,1664,0.00488499909871672,NA,NA,"2",2017,2017
778,0.051413881748072,0.00792260621286991,NA,NA,NA,NA,NA,"2",2019,2019
706,0.287535410764873,0.0170464030157297,0.270722433460076,1315,0.0122522099314922,-0.0680197307573733,0.0168740843801093,"3",2003,2003
609,0.251231527093596,0.0175897251934553,0.202702702702703,1184,0.0116025029826194,-0.0733111003033882,0.0151958175246466,"3",2005,2005
575,0.151304347826087,0.0149570431450495,0.129391602399314,1167,0.00981299112302994,-0.037265618147346,0.0127311083569544,"3",2007,2007
592,0.108108108108108,0.0127729584988968,0.0921259842519685,1270,0.00811087696959157,-0.0313745853710732,0.0105442938295175,"3",2009,2009
678,0.0781710914454277,0.0103170115149301,0.0607513988808953,1251,0.00673764106697224,-0.0158654533326981,0.00877357958681401,"3",2011,2011
573,0.0401396160558464,0.00820715482657906,0.0448859455481972,1359,0.00561959888415611,-0.00587665762250061,0.00740065645269777,"3",2013,2013
786,0.0483460559796438,0.00765570557398118,0.0390092879256966,1615,0.00481558140955467,0.000345550783980818,0.00689565201735473,"3",2015,2015
829,0.0301568154402895,0.00594330926568052,0.0393548387096774,1550,0.0049356045660486,NA,NA,"3",2017,2017
721,0.0499306518723994,0.00811699022934787,NA,NA,NA,NA,NA,"3",2019,2019
649,0.302003081664099,0.0180361956177105,0.274395329441201,1199,0.0128678541893646,-0.0738676249557129,0.0174763646526792,"4",2003,2003
550,0.241818181818182,0.0182744782447817,0.200527704485488,1137,0.0118254661656388,-0.0638923500875377,0.0154986246820834,"4",2005,2005
587,0.161839863713799,0.015214491600228,0.13663535439795,1171,0.0100182691619569,-0.0387274046071555,0.0132006002547327,"4",2007,2007
584,0.111301369863014,0.0130254648949031,0.097907949790795,1195,0.00859593683572833,-0.0278321922150374,0.011636923057018,"4",2009,2009
611,0.0851063829787234,0.0112979968161343,0.0700757575757576,1056,0.00784396890299324,-0.0149508652415629,0.0103174449652206,"4",2011,2011
445,0.049438202247191,0.010287978028012,0.0551248923341947,1161,0.00670237438966446,-0.0067144877099172,0.00884157593277453,"4",2013,2013
716,0.058659217877095,0.00878796968804294,0.0484104046242775,1384,0.00576642371975801,-0.00262136128821858,0.00830468771473333,"4",2015,2015
668,0.0374251497005988,0.00734913307317715,0.0457890433360589,1223,0.00597630283063491,NA,NA,"4",2017,2017
555,0.0558558558558559,0.00975660280197455,NA,NA,NA,NA,NA,"4",2019,2019
1173,0.709292412617221,0.0132640770099412,0.717111315547378,2174,0.00966260396746071,-0.00130724900393997,0.0136899572526241,"5",2003,2003
1001,0.726273726273726,0.0140996525062926,0.715804066543438,2164,0.00969788709702721,-0.0341561264685318,0.013977987144072,"5",2005,2005
1163,0.706792777300086,0.0133545826275879,0.681647940074906,2136,0.0100665341827838,-0.0248374698858611,0.0145152620066388,"5",2007,2007
973,0.651593011305241,0.0152826443065129,0.656810470189045,2063,0.0104574241889777,-0.0444622920513933,0.0151032075182468,"5",2009,2009
1090,0.661467889908257,0.014339710303145,0.612348178137652,1976,0.0108972086641952,-0.0818963117329368,0.015525113292695,"5",2011,2011
886,0.551918735891648,0.0167164604714372,0.530451866404715,2036,0.0110580281280166,-0.0482019816652038,0.015394132074054,"5",2013,2013
1150,0.513913043478261,0.0147448985800191,0.482249884739511,2169,0.0107097766658979,-0.0318141548920167,0.0158007430393675,"5",2015,2015
1019,0.446516192345437,0.0155810663626347,0.450435729847495,1836,0.0116174078159764,NA,NA,"5",2017,2017
817,0.455324357405141,0.0174334901025387,NA,NA,NA,NA,NA,"5",2019,2019
753,0.292164674634794,0.016583303475565,0.271942446043165,1390,0.0119287367444191,-0.0692180870688065,0.0164405849522002,"6",2003,2003
637,0.248037676609105,0.0171249104846149,0.202724358974359,1248,0.0113136233476661,-0.0724311993652385,0.0148294900765013,"6",2005,2005
611,0.155482815057283,0.0146717029574188,0.130293159609121,1228,0.00958726773779653,-0.0385705645308208,0.0124103262269294,"6",2007,2007
617,0.105348460291734,0.0123694587623915,0.0917225950782998,1341,0.00788038668991684,-0.0304981052823814,0.0102606847617429,"6",2009,2009
