"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
581,0.273666092943201,0.0185124823926622,0.257346393588602,1123,0.0130474062442528,0.000127087607155019,0.0188314341475875,"1",2003,2003
542,0.239852398523985,0.0183578731691449,0.257473481195757,1037,0.0135789580731497,-0.0202394386425655,0.0193764487939256,"1",2005,2005
495,0.276767676767677,0.0201295063033548,0.237234042553191,940,0.0138223972418414,0.00260738460240811,0.0192458691091365,"1",2007,2007
445,0.193258426966292,0.0187389371190889,0.2398414271556,1009,0.0133919681994377,-0.00477033710820621,0.0186607378010192,"1",2009,2009
564,0.276595744680851,0.0188520715468615,0.235071090047393,1055,0.0129953192736321,-0.0922139471902505,0.0168541268667336,"1",2011,2011
491,0.187372708757637,0.0176279101965861,0.142857142857143,1050,0.0107323468736487,-0.0357142857142857,0.0140235207322242,"1",2013,2013
559,0.103756708407871,0.0129093374189152,0.107142857142857,1176,0.00902639819146072,-0.00174866627148784,0.0126424459404073,"1",2015,2015
617,0.110210696920583,0.0126172616251303,0.105394190871369,1205,0.00885186844939051,NA,NA,"1",2017,2017
588,0.100340136054422,0.0124010216339458,NA,NA,NA,NA,NA,"1",2019,2019
585,0.311111111111111,0.0191569306664395,0.278748850045998,1087,0.013570951840263,-0.0012675266735328,0.0199237815365048,"2",2003,2003
502,0.241035856573705,0.0191087638304709,0.277481323372465,937,0.014587197704276,0.00482733409303027,0.0215764173486641,"2",2005,2005
435,0.319540229885057,0.0223830432532451,0.282308657465496,797,0.0158982844590256,-0.000755259407243192,0.0222932522111919,"2",2007,2007
362,0.237569060773481,0.0223996687090093,0.281553398058252,824,0.0156279763696941,-0.0119681446020312,0.0216511983947096,"2",2009,2009
462,0.316017316017316,0.0216534714141438,0.269585253456221,868,0.0149846837309086,-0.105576141838909,0.0194508184132408,"2",2011,2011
406,0.216748768472906,0.020473936447958,0.164009111617312,878,0.0124013543788374,-0.0275998839342629,0.0164894155151751,"2",2013,2013
472,0.11864406779661,0.0149000671832854,0.136409227683049,997,0.0108677151969762,0.0036559188967554,0.0157780860087622,"2",2015,2015
525,0.152380952380952,0.0157000144486506,0.140065146579805,921,0.0114385647918483,NA,NA,"2",2017,2017
396,0.123737373737374,0.0165679602403693,NA,NA,NA,NA,NA,"2",2019,2019
602,0.285714285714286,0.0184274280421339,0.266379310344828,1160,0.0129772431755827,-0.00258136834295669,0.0187104594919838,"3",2003,2003
558,0.245519713261649,0.0182364178652436,0.263797942001871,1069,0.0134785924325561,-0.0189632312580693,0.0192695232841619,"3",2005,2005
511,0.283757338551859,0.0199626666933419,0.244834710743802,968,0.0137710592779168,0.00103506573821976,0.0191999058557399,"3",2007,2007
457,0.201312910284464,0.018777670952424,0.245869776482021,1029,0.0133788755593801,-0.00542243258640163,0.0186473306678799,"3",2009,2009
572,0.281468531468531,0.0188200063678883,0.24044734389562,1073,0.0129895584914914,-0.0931966449207829,0.0168587645022834,"3",2011,2011
501,0.193612774451098,0.0176707027602439,0.147250698974837,1073,0.0107465953091932,-0.0349468178848287,0.014068520550769,"3",2013,2013
572,0.106643356643357,0.0129169888489262,0.112303881090008,1211,0.00907931493824479,0.00138707167220152,0.0127760983046098,"3",2015,2015
639,0.117370892018779,0.0127426274538918,0.11369095276221,1249,0.00898858877361839,NA,NA,"3",2017,2017
610,0.10983606557377,0.0126706482554579,NA,NA,NA,NA,NA,"3",2019,2019
592,0.288851351351351,0.0186433372544409,0.277728482697427,1127,0.0133485914461547,0.000714631075028338,0.0194654565745373,"4",2003,2003
535,0.265420560747664,0.0191080353844866,0.278443113772455,1002,0.014167537049849,-0.0284431137724551,0.0202940237215215,"4",2005,2005
467,0.293361884368308,0.0210914974411351,0.25,880,0.0145302543938788,0.00248070562293279,0.020425912367307,"4",2007,2007
413,0.200968523002421,0.01974228224311,0.252480705622933,907,0.0143558212334255,0.00214388632483653,0.0202714671226142,"4",2009,2009
494,0.295546558704453,0.0205501805237482,0.254624591947769,919,0.014312329510501,-0.0926134187634118,0.0188367300034783,"4",2011,2011
425,0.207058823529412,0.0196781573146967,0.162011173184358,895,0.0122466167249074,-0.0325514382200354,0.0162798519259061,"4",2013,2013
470,0.121276595744681,0.0150739883181279,0.129459734964322,981,0.0107263207821996,-0.00530842555598071,0.0148516002394426,"4",2015,2015
511,0.136986301369863,0.0152251761705811,0.124151309408341,1031,0.0102721016422914,NA,NA,"4",2017,2017
520,0.111538461538462,0.0138180882499226,NA,NA,NA,NA,NA,"4",2019,2019
646,0.207430340557276,0.0159652235615375,0.181454836131095,1251,0.0108784545684434,-0.000742412151946564,0.0157001723165457,"5",2003,2003
605,0.153719008264463,0.0146758279188511,0.180712423979149,1151,0.0113205404893733,0.000678553464460496,0.0163439629320992,"5",2005,2005
546,0.210622710622711,0.0174661289195992,0.181390977443609,1064,0.0117885744411397,-0.0274730669958478,0.0161452242856185,"5",2007,2007
518,0.150579150579151,0.0157289093070187,0.153917910447761,1072,0.0110316716719921,-0.0205215055281775,0.0151884093637566,"5",2009,2009
554,0.157039711191336,0.015471974330805,0.133396404919584,1057,0.0104398275427526,-0.0462820673515257,0.0134527050923438,"5",2011,2011
503,0.107355864811133,0.0138165688902844,0.0871143375680581,1102,0.00848441366148287,-0.0179019270668648,0.0111048205473471,"5",2013,2013
599,0.0701168614357262,0.0104417869645762,0.0692124105011933,1257,0.00716461891586888,0.00160471012137478,0.0101298892126159,"5",2015,2015
658,0.0683890577507599,0.00984754367774619,0.0708171206225681,1285,0.00716120738774167,NA,NA,"5",2017,2017
627,0.0733652312599681,0.0104210690754041,NA,NA,NA,NA,NA,"5",2019,2019
526,0.336501901140684,0.0206221504430085,0.280911062906725,922,0.0146660712652244,-0.0367680296144927,0.0210137238391228,"6",2003,2003
396,0.207070707070707,0.0203881592183744,0.244143033292232,811,0.0150493502594057,-0.00125203803156831,0.0210557613835077,"6",2005,2005
415,0.279518072289157,0.0220554702293108,0.242890995260664,844,0.0147262399888409,0.00526883649538273,0.0202984423845139,"6",2007,2007
429,0.207459207459207,0.0195999645181114,0.248159831756046,951,0.0139701331070428,-0.00258230834293491,0.0196657330633146,"6",2009,2009
522,0.281609195402299,0.0197053855508249,0.245577523413111,961,0.0138411140407502,-0.0993910827351452,0.0179201696937765,"6",2011,2011
439,0.202733485193622,0.0192100037660455,0.146186440677966,944,0.0113822688408196,-0.0361598213345766,0.0147130318466757,"6",2013,2013
505,0.097029702970297,0.0131848081554047,0.11002661934339,1127,0.00932294278415352,0.00342984503655772,0.0132469899729128,"6",2015,2015
622,0.120578778135048,0.0130673676484622,0.113456464379947,1137,0.00941092350334718,NA,NA,"6",2017,2017
515,0.104854368932039,0.0135132108762715,NA,NA,NA,NA,NA,"6",2019,2019
1902,0.340168243953733,0.0108660683423201,0.314011069035829,3433,0.00790790445462956,-0.077693448029818,0.0109113265889699,"7",2003,2003
1531,0.281515349444807,0.0114977820387942,0.236317621006011,3161,0.00751811778755901,-0.0754655061557483,0.00989341665312918,"7",2005,2005
1630,0.193865030674847,0.00979474372500909,0.160852114850262,3239,0.0064309873273707,-0.0427276784210469,0.00852425959288929,"7",2007,2007
1609,0.127408328154133,0.00831498400476161,0.118124436429216,3327,0.00559512319812195,-0.0349003210950084,0.0074853487315146,"7",2009,2009
1718,0.109429569266589,0.00753383896493891,0.0832241153342071,3052,0.00497242818251052,-0.0299325792840503,0.00636766193345113,"7",2011,2011
1334,0.0494752623688156,0.00593964775391811,0.0532915360501567,3190,0.00397769738272002,6.37994833966177e-05,0.00545150373784073,"7",2013,2013
1856,0.0560344827586207,0.00533990820865587,0.0533553355335534,3636,0.00372784341613133,1.10932594965946e-05,0.00543856141728927,"7",2015,2015
1780,0.050561797752809,0.00519465405795178,0.05336642879305,3223,0.00395994113017273,NA,NA,"7",2017,2017
1443,0.0568260568260568,0.00609659053507197,NA,NA,NA,NA,NA,"7",2019,2019
567,0.805996472663139,0.016621230342181,0.790076335877863,1048,0.0125808486061913,-0.00742526375310626,0.0180080278501791,"8",2003,2003
481,0.771309771309771,0.0191698009027133,0.782651072124756,1026,0.0128845378419609,0.00687884240515824,0.0185448735311278,"8",2005,2005
545,0.792660550458716,0.0173814155636086,0.789529914529915,936,0.0133379540741675,0.000727189664943229,0.0200688858878155,"8",2007,2007
391,0.785166240409207,0.020796955850395,0.790257104194858,739,0.0149953046615785,-0.0623159277242695,0.0225788545589954,"8",2009,2009
348,0.795977011494253,0.0216334148004367,0.727941176470588,680,0.0168803291230566,-0.0977016555125045,0.0251757566889855,"8",2011,2011
332,0.656626506024096,0.0260992839208342,0.630239520958084,668,0.0186781480227641,-0.018576989940714,0.0253823009065097,"8",2013,2013
336,0.604166666666667,0.0267185052734324,0.61166253101737,806,0.0171868550278496,-0.0049879183832815,0.024089752728237,"8",2015,2015
470,0.617021276595745,0.022446620918733,0.606674612634088,839,0.0168798163722027,NA,NA,"8",2017,2017
369,0.59349593495935,0.0256045655610647,NA,NA,NA,NA,NA,"8",2019,2019
845,0.384615384615385,0.0167461670840042,0.360877985797289,1549,0.0121923784742005,-0.0223938062535064,0.0177096118564371,"9",2003,2003
704,0.332386363636364,0.0177666904641728,0.338484179543782,1359,0.0128443084378845,-0.0399260794589645,0.0184555227192817,"9",2005,2005
655,0.345038167938931,0.0185888572145995,0.298558100084818,1179,0.0132525491734386,-0.00226180378852137,0.0185894821515915,"9",2007,2007
524,0.240458015267176,0.0186872190840558,0.296296296296296,1215,0.0130360571903444,-0.000576451938319622,0.0181823252462358,"9",2009,2009
691,0.338639652677279,0.0180162100243204,0.295719844357977,1285,0.012675100168834,-0.10147524004143,0.0168537204092693,"9",2011,2011
594,0.245791245791246,0.0176807890755271,0.194244604316547,1251,0.0111080928760902,-0.0323905009730817,0.01504913381037,"9",2013,2013
657,0.147640791476408,0.0138504087819741,0.161854103343465,1316,0.0101531621231308,0.00105498756562586,0.0142230170856787,"9",2015,2015
659,0.176024279210926,0.014846721023026,0.162909090909091,1375,0.00996029687915629,NA,NA,"9",2017,2017
716,0.150837988826816,0.0133843604565204,NA,NA,NA,NA,NA,"9",2019,2019
1003,0.318045862412762,0.0147125719121554,0.291146424517594,1762,0.0108035637337015,-0.0788633804588487,0.0150733506192467,"10",2003,2003
759,0.255599472990777,0.0158434117883263,0.212283044058745,1498,0.0105113704883137,-0.0678014387075744,0.0138897100882599,"10",2005,2005
739,0.167794316644114,0.0137554809941154,0.144481605351171,1495,0.00907937975818366,-0.0471310200153727,0.0116759044555878,"10",2007,2007
756,0.121693121693122,0.0118982388270855,0.0973505853357979,1623,0.00734109038649566,-0.0400139638808041,0.00932759943780535,"10",2009,2009
867,0.0761245674740484,0.00901177172800981,0.0573366214549938,1622,0.00575434646240976,-0.0122595158796676,0.00765711478272852,"10",2011,2011
755,0.0357615894039735,0.00676261941772262,0.0450771055753262,1686,0.00505162385638835,0.000637180138959491,0.00694127855719931,"10",2013,2013
