"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
348,0.744252873563218,0.0234207557001913,0.721183800623053,642,0.0176975771310076,0.00295413041143,0.0244967045127055,"1",2003,2003
294,0.693877551020408,0.0269249681256576,0.724137931034483,696,0.0169376590966651,-0.00607625702567227,0.0241529541198442,"1",2005,2005
402,0.746268656716418,0.0217301374733617,0.718061674008811,681,0.0172186206486019,0.00182221568639984,0.0242534786753499,"1",2007,2007
279,0.67741935483871,0.0280366135569762,0.71988388969521,689,0.0170807005364298,-0.00246075645948574,0.0242339972390456,"1",2009,2009
410,0.748780487804878,0.0214458018693173,0.717423133235725,683,0.0171911689936106,-0.133675206204216,0.0262585858972025,"1",2011,2011
273,0.67032967032967,0.0285035990636029,0.583747927031509,603,0.0198488549280276,-0.0807893471498522,0.0276543872050719,"1",2013,2013
330,0.512121212121212,0.0275577909601621,0.502958579881657,676,0.0192558585821084,-0.000471017692602049,0.0280463559465703,"1",2015,2015
346,0.494219653179191,0.0269172961791491,0.502487562189055,603,0.020391419571662,NA,NA,"1",2017,2017
257,0.513618677042802,0.0312384060765203,NA,NA,NA,NA,NA,"1",2019,2019
443,0.214446952595937,0.0195225508958284,0.193585337915235,873,0.0133684536407755,-0.00118337713092112,0.0192104657594234,"2",2003,2003
430,0.172093023255814,0.0182240021167869,0.192401960784314,816,0.0137958849643078,-0.000296697626418985,0.0198585188345061,"2",2005,2005
386,0.215025906735751,0.0209383613747664,0.192105263157895,760,0.0142840585392254,-0.0261079405340661,0.0197447385711533,"2",2007,2007
374,0.168449197860963,0.019378691595106,0.165997322623829,747,0.013631594656942,-0.0306696872961933,0.0187533641409968,"2",2009,2009
373,0.163538873994638,0.0191761718380768,0.135327635327635,702,0.0128789865173333,-0.0468203698058388,0.0165076272833363,"2",2011,2011
329,0.103343465045593,0.0168080622058505,0.0885072655217966,757,0.0103263480869035,-0.00846340587267376,0.0136946821831963,"2",2013,2013
428,0.0771028037383178,0.0129091548759499,0.0800438596491228,912,0.00899504615256968,0.00072128381527678,0.0126479987483934,"2",2015,2015
484,0.0826446280991736,0.0125286002867842,0.0807651434643996,941,0.00889162623216374,NA,NA,"2",2017,2017
457,0.0787746170678337,0.0126151865432566,NA,NA,NA,NA,NA,"2",2019,2019
309,0.26537216828479,0.0251585737486636,0.244027303754266,586,0.0177486048588961,0.00252101971713417,0.0261001165831541,"3",2003,2003
277,0.220216606498195,0.0249435052044873,0.2465483234714,507,0.0191364341301352,0.00562558957207784,0.0278651903749143,"3",2005,2005
230,0.278260869565217,0.0296140942216337,0.252173913043478,460,0.0202550172405064,-0.00816519844652835,0.0285168533643055,"3",2007,2007
230,0.226086956521739,0.0276417857072413,0.24400871459695,459,0.0200734950217467,-0.0186257824306479,0.0279944266945001,"3",2009,2009
229,0.262008733624454,0.029121656281893,0.225382932166302,457,0.0195126298475026,-0.0685601215756706,0.0254827944116675,"3",2011,2011
228,0.18859649122807,0.0259640428017338,0.156822810590631,491,0.0163899386045726,-0.0344090174871831,0.0213173133902967,"3",2013,2013
263,0.129277566539924,0.0207276852632393,0.122413793103448,580,0.0136307653020094,-0.00689032739947715,0.0192587131118535,"3",2015,2015
317,0.116719242902208,0.0180624673131449,0.115523465703971,554,0.0136051559346527,NA,NA,"3",2017,2017
237,0.113924050632911,0.0206817451358845,NA,NA,NA,NA,NA,"3",2019,2019
381,0.755905511811024,0.0220354002880495,0.73936170212766,752,0.0160177062540535,0.00704978112592913,0.0219766599653315,"4",2003,2003
371,0.722371967654987,0.0232815149967505,0.746411483253589,836,0.0150468159286494,-0.00245013059658383,0.021361043922201,"4",2005,2005
465,0.765591397849462,0.0196664650565311,0.743961352657005,828,0.0151620423378759,-0.00627662359296544,0.0216408946925364,"4",2007,2007
363,0.716253443526171,0.0236943269058714,0.737684729064039,812,0.0154415282675617,-0.009820145730706,0.0222639222055006,"4",2009,2009
449,0.755011135857461,0.0203193983115299,0.727864583333333,768,0.0160387479790249,-0.118422523247496,0.0243101125500639,"4",2011,2011
319,0.689655172413793,0.0259432687539062,0.609442060085837,699,0.0182685559216404,-0.0853133737587591,0.0258559126096294,"4",2013,2013
380,0.542105263157895,0.0255920474751319,0.524128686327078,746,0.0182972151272999,-0.0146649639296015,0.0270218698649043,"4",2015,2015
