"n","prev","prev_se","subgroup","meting","year"
478,0.286610878661088,0.0207038154098355,"1",2003,2003
344,0.197674418604651,0.0215032198303599,"1",2005,2005
403,0.11166253101737,0.0157083184687234,"1",2007,2007
364,0.0769230769230769,0.013986013986014,"1",2009,2009
444,0.0698198198198198,0.0121079617277739,"1",2011,2011
361,0.0193905817174515,0.0072676197880489,"1",2013,2013
533,0.0300187617260788,0.007398134756606,"1",2015,2015
555,0.027027027027027,0.00688961008641223,"1",2017,2017
541,0.033271719038817,0.00771778990517399,"1",2019,2019
711,0.267229254571027,0.0166072180163588,"2",2003,2003
571,0.220665499124343,0.0173696769768946,"2",2005,2005
534,0.129213483146067,0.0145293491497533,"2",2007,2007
589,0.0916808149405773,0.0119006261706011,"2",2009,2009
640,0.0734375,0.0103191962657376,"2",2011,2011
529,0.0207939508506616,0.00620995694531412,"2",2013,2013
736,0.0244565217391304,0.00569740366737805,"2",2015,2015
706,0.0297450424929178,0.00639816850345465,"2",2017,2017
649,0.0400616332819723,0.00770368466640696,"2",2019,2019
642,0.280373831775701,0.0177416169138938,"3",2003,2003
458,0.205240174672489,0.0188925700244534,"3",2005,2005
500,0.132,0.0151529278505802,"3",2007,2007
472,0.0826271186440678,0.012685973489367,"3",2009,2009
591,0.0744500846023689,0.0108070339229588,"3",2011,2011
547,0.0237659963436929,0.00651866491216959,"3",2013,2013
672,0.03125,0.00671691122639334,"3",2015,2015
709,0.0352609308885755,0.00693162710305657,"3",2017,2017
620,0.0403225806451613,0.00790663104204423,"3",2019,2019
1650,0.345454545454545,0.011709949807201,"4",2003,2003
1287,0.290598290598291,0.0126611209821794,"4",2005,2005
1424,0.191011235955056,0.0104207326081874,"4",2007,2007
1297,0.137239784117194,0.00955834204254906,"4",2009,2009
1540,0.118181818181818,0.00822897131070441,"4",2011,2011
1163,0.058469475494411,0.00688301533571739,"4",2013,2013
1597,0.0588603631809643,0.00589144811733745,"4",2015,2015
1524,0.0551181102362205,0.00584771193196707,"4",2017,2017
1312,0.0602134146341463,0.00656991730337474,"4",2019,2019
1779,0.354131534569983,0.0113419691759419,"5",2003,2003
1375,0.295272727272727,0.0123063380494573,"5",2005,2005
1541,0.195327709279689,0.0101025519235655,"5",2007,2007
1374,0.144832605531295,0.0094978098409288,"5",2009,2009
1660,0.124698795180723,0.00811122967324036,"5",2011,2011
1259,0.0595710881652105,0.00667329666732967,"5",2013,2013
1704,0.062793427230047,0.00587851231708307,"5",2015,2015
1631,0.055793991416309,0.00568503697092866,"5",2017,2017
1421,0.067558057705841,0.0066604765798721,"5",2019,2019
1207,0.804473902236951,0.0114204888055509,"6",2003,2003
952,0.792016806722689,0.0131610658238155,"6",2005,2005
1272,0.751572327044025,0.0121202785470446,"6",2007,2007
1094,0.696526508226691,0.0139065411282634,"6",2009,2009
1183,0.673710904480135,0.0136373293821556,"6",2011,2011
1013,0.566633761105627,0.0155771680325389,"6",2013,2013
1181,0.526672311600339,0.0145348379791304,"6",2015,2015
1024,0.4951171875,0.0156318895471207,"6",2017,2017
862,0.522041763341067,0.0170233890026197,"6",2019,2019
1910,0.36020942408377,0.0109873634470969,"7",2003,2003
1445,0.295501730103806,0.0120070517602496,"7",2005,2005
1662,0.201564380264741,0.00984332963963315,"7",2007,2007
1474,0.149932157394844,0.00930192461137718,"7",2009,2009
1791,0.128978224455611,0.00792220703377359,"7",2011,2011
1405,0.0654804270462633,0.00660186134074823,"7",2013,2013
