"n","prev","prev_se","subgroup","meting","year"
505,0.253465346534653,0.019376218069275,"1",2003,2003
460,0.219565217391304,0.0193216289059692,"1",2005,2005
398,0.130653266331658,0.0169145869059165,"1",2007,2007
488,0.0778688524590164,0.0121426577029001,"1",2009,2009
494,0.0748987854251012,0.0118551909503158,"1",2011,2011
420,0.0285714285714286,0.00813887545386336,"1",2013,2013
600,0.0266666666666667,0.00658266499146881,"1",2015,2015
614,0.0162866449511401,0.00511234155055069,"1",2017,2017
526,0.0380228136882129,0.00834689327177305,"1",2019,2019
310,0.280645161290323,0.0255606047210228,"2",2003,2003
247,0.202429149797571,0.0256184947411841,"2",2005,2005
282,0.148936170212766,0.0212387032911977,"2",2007,2007
280,0.0964285714285714,0.0176718497206073,"2",2009,2009
321,0.0685358255451713,0.014124299336827,"2",2011,2011
261,0.0191570881226054,0.00850115243257056,"2",2013,2013
400,0.0325,0.00887729637769539,"2",2015,2015
456,0.0131578947368421,0.00534209172987599,"2",2017,2017
400,0.0325,0.00887729637769539,"2",2019,2019
391,0.240409207161125,0.0216387958971893,"3",2003,2003
324,0.212962962962963,0.0227797190887334,"3",2005,2005
300,0.11,0.0180948818499563,"3",2007,2007
317,0.0725552050473186,0.0145926706143113,"3",2009,2009
374,0.0641711229946524,0.0126885976095973,"3",2011,2011
324,0.0216049382716049,0.00808969931626065,"3",2013,2013
440,0.0159090909090909,0.00597183818717467,"3",2015,2015
441,0.0204081632653061,0.00674059448036547,"3",2017,2017
366,0.0355191256830601,0.00968794157897997,"3",2019,2019
290,0.272413793103448,0.0261883329652029,"4",2003,2003
345,0.208695652173913,0.021910346986098,"4",2005,2005
226,0.13716814159292,0.0229349846813276,"4",2007,2007
313,0.0638977635782748,0.0138460907409852,"4",2009,2009
321,0.0498442367601246,0.0121654979375493,"4",2011,2011
379,0.0316622691292876,0.009006136920446,"4",2013,2013
375,0.0213333333333333,0.00747155429538121,"4",2015,2015
476,0.0147058823529412,0.00552308445043693,"4",2017,2017
388,0.038659793814433,0.00979970127644944,"4",2019,2019
1499,0.345563709139426,0.0122868864301613,"5",2003,2003
1251,0.283772981614708,0.0127513411536264,"5",2005,2005
1390,0.190647482014388,0.0105398219669843,"5",2007,2007
1297,0.133384734001542,0.00944416857182381,"5",2009,2009
1500,0.121333333333333,0.00843337328081906,"5",2011,2011
1121,0.0526315789473684,0.00667227043206724,"5",2013,2013
1592,0.0527638190954774,0.00560482633507466,"5",2015,2015
1573,0.0521296884933249,0.00560648616051189,"5",2017,2017
1325,0.0611320754716981,0.0065840455806917,"5",2019,2019
1614,0.351301115241636,0.0118862307266665,"6",2003,2003
1337,0.288706058339566,0.0123979326983498,"6",2005,2005
1486,0.194481830417227,0.0102710291156308,"6",2007,2007
1356,0.138643067846608,0.00938795520944419,"6",2009,2009
1617,0.128014842300557,0.0083112056965742,"6",2011,2011
