"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
310,0.274193548387097,0.0253781399708852,0.241430700447094,671,0.0165040065310841,-0.0542385822204929,0.0228339353289722,"1",2003,2003
361,0.213296398891967,0.0215896737863064,0.187192118226601,609,0.0157799357105668,-0.0839218944744495,0.0201559290955101,"1",2005,2005
248,0.149193548387097,0.0226694995209292,0.103270223752151,581,0.0125401398187425,-0.0438348597105467,0.0155058923973751,"1",2007,2007
333,0.0690690690690691,0.0139165469646273,0.0594353640416048,673,0.00912017501835156,-0.019909672342,0.0115417926221066,"1",2009,2009
340,0.05,0.0118371446768338,0.0395256916996048,759,0.00707356943603084,-0.00962138547950906,0.00920967316451607,"1",2011,2011
419,0.0310262529832936,0.00848071617917655,0.0299043062200957,836,0.00589768558257031,-0.00571923787098949,0.00772236036864812,"1",2013,2013
417,0.0287769784172662,0.0081966315681232,0.0241850683491062,951,0.00498519352005611,0.00549763380033085,0.00736831955194479,"1",2015,2015
534,0.0205992509363296,0.00615236829538111,0.0296827021494371,977,0.00542586201328069,NA,NA,"1",2017,2017
443,0.0406320541760722,0.00939108684354226,NA,NA,NA,NA,NA,"1",2019,2019
764,0.289267015706806,0.0164149825007276,0.269121813031162,1412,0.0117966096101828,-0.0678688764610754,0.0162377778696896,"2",2003,2003
648,0.24537037037037,0.0169170972346923,0.201252936570086,1277,0.011158200206589,-0.0711267536047865,0.0146083276204017,"2",2005,2005
629,0.155802861685215,0.0144720425609245,0.1301261829653,1268,0.00942856319990854,-0.0388218351392127,0.0122062548991627,"2",2007,2007
639,0.104851330203443,0.0121289782768694,0.091304347826087,1380,0.00775208711565245,-0.0312029720114599,0.0100368009337502,"2",2009,2009
741,0.0796221322537112,0.00995139867319242,0.0601013758146271,1381,0.00637514849513823,-0.01827131045515,0.00817702805142559,"2",2011,2011
640,0.0375,0.00751563315922468,0.0418300653594771,1530,0.00512067079773127,-0.00336852689793866,0.0068011488710848,"2",2013,2013
890,0.0449438202247191,0.0069486201500096,0.0384615384615385,1846,0.00447597548562549,0.00133945656333716,0.00641484452011698,"2",2015,2015
956,0.0324267782426778,0.00573181461133561,0.0398009950248756,1809,0.00459520115657134,NA,NA,"2",2017,2017
853,0.0480656506447831,0.00732826413619592,NA,NA,NA,NA,NA,"2",2019,2019
1003,0.300099700897308,0.0144782812916566,0.281590413943355,1836,0.0104918267123429,-0.0714369310625996,0.0143805312587283,"3",2003,2003
833,0.259303721488595,0.015193673622991,0.210153482880756,1694,0.00983469631058475,-0.0732987409839969,0.0129338155191817,"3",2005,2005
861,0.16260162601626,0.0125828573507089,0.136854741896759,1666,0.0084001388299716,-0.038664944858909,0.0109149195735575,"3",2007,2007
805,0.109316770186335,0.011004669629737,0.0981897970378497,1823,0.00696944308639012,-0.0257992246472773,0.00927793475365923,"3",2009,2009
1018,0.0893909626719057,0.00894648233550176,0.0723905723905724,1782,0.00612429068208937,-0.0209781430120413,0.00806783748505571,"3",2011,2011
764,0.049738219895288,0.00787053910574868,0.0514124293785311,1770,0.00525195823731905,-0.0064466424772603,0.00696883406590926,"3",2013,2013
1006,0.0526838966202783,0.00704698542917376,0.0449657869012708,2046,0.00458056578510057,-0.000998506737671587,0.00651685053758698,"3",2015,2015
1040,0.0375,0.00589397418259213,0.0439672801635992,1956,0.00463548897287155,NA,NA,"3",2017,2017
916,0.0513100436681223,0.00729378229756412,NA,NA,NA,NA,NA,"3",2019,2019
760,0.326315789473684,0.0170186983510016,0.29290780141844,1410,0.0120900435339157,-0.0766512764370825,0.0164850382675824,"4",2003,2003
650,0.253846153846154,0.0170835111855801,0.216256524981357,1341,0.011206575481907,-0.064050642628416,0.0148318037411117,"4",2005,2005
691,0.180897250361794,0.0146541498882352,0.152205882352941,1360,0.00971571243827113,-0.0429319786865141,0.0128199747019925,"4",2007,2007
669,0.122571001494768,0.0126885392608392,0.109273903666427,1391,0.00836401118940862,-0.028449814918408,0.0113419268659924,"4",2009,2009
722,0.0969529085872576,0.0110196547456135,0.080824088748019,1262,0.0076604583320431,-0.0149600660851295,0.0101142372024016,"4",2011,2011
540,0.0592592592592593,0.0101699473103627,0.0658640226628895,1412,0.00660417839927686,-0.0101383643652778,0.00870257732169446,"4",2013,2013
872,0.069954128440367,0.00864270684323431,0.0557256582976118,1633,0.00566742266913238,-0.00464098369999104,0.0081229115332162,"4",2015,2015
761,0.0394218134034166,0.00705875101068122,0.0510846745976207,1429,0.00581910749736256,NA,NA,"4",2017,2017
668,0.0643712574850299,0.00950243389439149,NA,NA,NA,NA,NA,"4",2019,2019
766,0.289817232375979,0.0164027418477142,0.269448373408769,1414,0.0117924174923614,-0.067570439136469,0.0162421669429284,"5",2003,2003
648,0.24537037037037,0.0169170972346923,0.2018779342723,1278,0.011169014132313,-0.0710662715457441,0.0146269289732775,"5",2005,2005
630,0.157142857142857,0.0145110549159045,0.130811662726556,1269,0.00944458440067624,-0.0389158595427647,0.0122298021818268,"5",2007,2007
639,0.104851330203443,0.0121289782768694,0.0918958031837916,1382,0.00776967740032481,-0.0312021615652945,0.0100638291305478,"5",2009,2009
743,0.0807537012113055,0.0100021925461587,0.0606936416184971,1384,0.00639630908131752,-0.0189726507449639,0.0081853864909749,"5",2011,2011
641,0.0374414976599064,0.00750412718868024,0.0417209908735332,1534,0.00510762000768356,-0.00284410102472115,0.0068020460929928,"5",2013,2013
893,0.0447928331466965,0.00692581083023969,0.0388768898488121,1852,0.00449222093271348,0.00235455600055569,0.00647292609477636,"5",2015,2015
959,0.0333680917622523,0.00580247789326914,0.0412314458493678,1819,0.00466033510813628,NA,NA,"5",2017,2017
860,0.05,0.00743618563581118,NA,NA,NA,NA,NA,"5",2019,2019
437,0.645308924485126,0.0229121435524347,0.625,744,0.017750545540473,0.00535495716034273,0.0244973225002964,"6",2003,2003
