"n","prev","mean","n_mean","prev_se","mean_se","prev_slope","mean_slope","prev_slope_se","mean_slope_se","subgroup","year"
606,0.607260726072607,0.584107327141383,969,0.0198382542350135,0.015833432432077,-0.0618061806180619,0.00980662878726346,0.0328111229076071,0.0224448716050206,"1",2003
363,0.545454545454545,0.593913955928646,953,0.026134526117094,0.0159083210548667,0.0782742681047767,-0.00944386149003151,0.0328754485529906,0.0225370156527054,"1",2005
590,0.623728813559322,0.584470094438615,953,0.0199444644499485,0.015963783879318,-0.103067656534529,-0.00891453888305926,0.0329440572638034,0.0229407331616762,"1",2007
363,0.520661157024793,0.575555555555556,900,0.0262207789130205,0.0164752797320609,0.0920017852470874,-0.00951781970649901,0.0336071694425299,0.0229982192581563,"1",2009
537,0.612662942271881,0.566037735849057,954,0.0210217171309437,0.0160462845168772,-0.10666773843495,-0.112274294988842,0.0322699052036898,0.0228910838659694,"1",2011
417,0.50599520383693,0.453763440860215,930,0.0244833451701705,0.0163253935254949,-0.0946891609519402,-0.059370917495729,0.0327326914162568,0.0221300706276626,"1",2013
513,0.41130604288499,0.394392523364486,1070,0.0217254435312648,0.0149406007985979,-0.0324909620950441,-0.0298866785185774,0.0299075587372372,0.0216653323414001,"1",2015
557,0.378815080789946,0.364505844845909,941,0.0205540062516074,0.0156896486015543,-0.0350650807899461,NA,0.0317794045239581,NA,"1",2017
384,0.34375,NA,NA,0.0242376438398259,NA,NA,NA,NA,NA,"1",2019
383,0.211488250652742,0.190224570673712,757,0.0208664140103578,0.0142648649384298,-0.0430390527917789,-0.00776346742052955,0.0284593889748182,0.0203586621779531,"2",2003
374,0.168449197860963,0.182461103253182,707,0.0193527669124687,0.0145254519366654,0.0297490003372356,-0.0041074447165971,0.0291848218890819,0.0208417474171957,"2",2005
333,0.198198198198198,0.178353658536585,656,0.0218454627217893,0.0149462263276656,-0.0403034613560929,-0.0278160241279832,0.0298140479975237,0.0204895064241251,"2",2007
323,0.157894736842105,0.150537634408602,651,0.0202892389327338,0.0140153555811638,-0.014602053915276,-0.0369376344086021,0.028034285680634,0.0189087878000272,"2",2009
